,date,avgTemp
25092672,2022-10-20,11.1
850261,2022-01-19,3.2
25461273,2022-10-31,14.4
8836007,2022-05-02,12.1
20383470,2022-09-20,23.2
22579553,2022-09-06,23.3
19255947,2022-08-15,24.3
2617002,2022-03-03,5.6
13624289,2022-07-21,29.8
10670102,2022-06-13,24.2
24167559,2022-10-14,15.7
21450910,2022-09-03,22.8
1507870,2022-02-22,5.6
5874622,2022-04-29,10.4
119634,2022-01-12,-1.9
29312231,2022-12-06,9.3
5397236,2022-04-24,12.8
19613196,2022-09-18,23.4
8001672,2022-05-03,12.4
2003569,2022-02-12,11.8
27977992,2022-11-08,13.2
18181058,2022-08-10,27.2
9928753,2022-06-17,25.2
9072875,2022-05-04,12.0
16075126,2022-08-21,25.3
1092200,2022-02-20,-2.6
1028724,2022-02-16,1.6
22514115,2022-09-19,25.6
16121344,2022-08-30,26.8
26476974,2022-11-19,2.8
18189670,2022-08-16,23.6
11885653,2022-06-30,25.4
20245888,2022-09-15,21.8
23367073,2022-10-13,18.7
14114335,2022-07-13,28.9
3083859,2022-03-26,10.4
27488078,2022-11-11,16.4
10224185,2022-06-11,21.8
15659039,2022-07-05,25.9
2935398,2022-03-19,13.1
21497292,2022-09-07,20.8
2167576,2022-02-25,0.8
23246085,2022-10-22,14.4
27028738,2022-11-28,12.2
17457805,2022-08-09,31.3
21266462,2022-09-09,21.9
18792481,2022-08-20,27.9
20191489,2022-09-13,24.7
13551755,2022-07-26,25.9
20180822,2022-09-12,22.4
3485444,2022-03-25,9.6
27551324,2022-11-18,4.5
29228233,2022-12-19,1.7
25580367,2022-10-25,16.9
11762605,2022-06-04,21.9
15219974,2022-07-16,24.3
120202,2022-01-14,4.8
20035019,2022-09-10,23.6
7392906,2022-05-17,19.7
29414007,2022-12-23,7.5
16021630,2022-08-19,26.3
10209972,2022-06-25,25.8
15868956,2022-07-28,26.7
16583455,2022-08-29,26.0
7363899,2022-05-13,16.0
11118109,2022-06-15,23.3
8178622,2022-05-10,15.4
7852031,2022-05-19,15.5
2495204,2022-03-27,5.9
9147732,2022-05-28,20.4
29550430,2022-12-01,5.7
16940545,2022-08-25,28.1
15663704,2022-07-06,26.0
5463832,2022-04-30,12.9
28483897,2022-12-20,1.9
11232164,2022-06-08,23.7
6284916,2022-04-15,15.7
18964822,2022-08-27,27.8
20734944,2022-09-04,25.3
23034322,2022-10-27,16.9
6690156,2022-05-24,17.4
12992825,2022-07-31,26.3
2302612,2022-03-01,2.6
26929930,2022-11-25,10.0
19370230,2022-08-12,25.6
23272516,2022-10-24,14.1
8050128,2022-05-21,21.2
15153902,2022-07-10,23.4
24059737,2022-10-04,10.3
1589684,2022-02-09,2.8
26644389,2022-11-06,19.8
23574042,2022-10-11,17.0
27362271,2022-11-14,6.3
3526044,2022-03-28,-1.5
26634316,2022-11-23,9.4
13187146,2022-07-02,28.7
21545655,2022-09-05,25.8
27178662,2022-11-12,19.7
26489333,2022-11-04,15.2
9441816,2022-06-05,20.0
26007154,2022-11-16,7.3
29552752,2022-12-18,3.1
9584064,2022-06-18,21.7
667036,2022-01-05,3.2
29154721,2022-12-09,5.3
26959426,2022-11-01,16.9
3085094,2022-03-14,5.3
21157939,2022-09-24,14.5
6912104,2022-05-15,18.8
5469054,2022-04-19,7.6
16949098,2022-08-22,24.5
16517927,2022-08-02,26.4
2246620,2022-03-15,11.6
2594829,2022-03-06,9.6
15612501,2022-07-22,30.9
21147995,2022-09-21,22.0
5379447,2022-04-23,13.3
24222003,2022-10-26,18.3
11358588,2022-06-19,17.3
2396570,2022-03-22,10.7
23890040,2022-10-29,10.8
22407671,2022-09-29,16.6
23014720,2022-10-15,16.2
11850134,2022-06-07,21.8
8924982,2022-05-30,23.3
4500591,2022-04-28,8.2
17506550,2022-08-26,27.4
13780071,2022-07-20,31.3
5233442,2022-04-01,13.1
7232549,2022-05-16,20.4
17734254,2022-08-17,23.6
29354191,2022-12-08,11.6
6201603,2022-04-08,12.8
2955181,2022-03-09,3.2
3734059,2022-03-02,7.7
15369783,2022-07-23,30.3
22446515,2022-09-14,22.9
14026864,2022-07-27,25.5
16604806,2022-08-06,29.6
11145050,2022-06-10,21.8
17611041,2022-08-05,29.3
17129612,2022-08-18,24.1
6965704,2022-05-27,20.2
3246842,2022-03-24,5.7
28760003,2022-12-07,13.8
11291391,2022-06-21,22.1
20500238,2022-09-25,19.2
27013403,2022-11-02,17.6
28976150,2022-12-13,0.3
28422567,2022-12-15,2.7
10977108,2022-06-26,27.0
240257,2022-01-25,3.6
13807619,2022-07-25,29.8
2121741,2022-02-07,0.5
12143548,2022-06-06,22.2
22081190,2022-09-16,19.6
24756972,2022-10-18,12.6
25760148,2022-10-16,16.1
13428150,2022-07-11,24.0
21426253,2022-09-30,14.5
24511757,2022-10-28,11.3
11741591,2022-06-29,23.9
21880698,2022-09-23,15.1
28604077,2022-12-24,-11.7
560109,2022-01-03,1.4
27873958,2022-11-05,19.4
5857520,2022-04-16,15.7
6946763,2022-05-09,13.5
22521363,2022-09-17,20.8
14778314,2022-07-17,25.7
17030338,2022-08-03,27.6
12744865,2022-07-01,28.1
24310843,2022-10-19,10.0
25601711,2022-10-06,17.6
3343197,2022-03-30,2.6
26780757,2022-11-13,12.9
21897869,2022-09-01,25.9
5742193,2022-04-03,7.0
7370100,2022-05-14,17.9
22972338,2022-10-21,13.4
29200593,2022-12-02,3.4
13932105,2022-07-08,23.5
3840084,2022-03-16,13.6
4375784,2022-04-06,8.6
25805730,2022-10-08,13.9
4873716,2022-04-05,9.7
20007247,2022-09-02,21.7
24144116,2022-10-10,15.8
1367264,2022-02-11,8.6
28317925,2022-12-30,9.3
879552,2022-01-27,-4.2
16533088,2022-08-07,29.6
7849131,2022-05-22,27.8
19624528,2022-09-28,17.2
23808137,2022-10-09,12.3
8408766,2022-05-12,17.1
28780325,2022-12-17,5.0
17947462,2022-08-13,23.1
26296334,2022-11-26,9.3
7418961,2022-05-01,13.6
28295670,2022-12-14,1.7
3963866,2022-03-10,4.0
2334650,2022-03-21,10.4
29689655,2022-12-05,5.4
29014476,2022-12-10,2.2
11314984,2022-06-03,19.5
4166012,2022-04-14,16.3
16446123,2022-08-04,29.1
1973500,2022-02-24,1.1
12910886,2022-07-30,26.7
3706068,2022-03-18,13.9
2642404,2022-03-07,18.2
8675660,2022-05-25,16.2
424098,2022-01-04,-2.7
12673746,2022-07-09,24.7
556136,2022-01-23,-0.7
7804260,2022-05-31,28.3
14509381,2022-07-24,31.1
13569318,2022-07-18,26.2
11185352,2022-06-22,19.1
4385803,2022-04-02,7.2
13840168,2022-07-15,26.1
6310086,2022-04-12,13.4
7161128,2022-05-29,20.7
29117942,2022-12-04,7.0
12452076,2022-06-01,17.8
28518509,2022-12-29,6.4
16204267,2022-08-11,26.6
12064717,2022-06-12,20.5
2174967,2022-02-01,-1.7
15934517,2022-07-07,24.2
23970761,2022-10-30,12.5
9833784,2022-06-23,19.2
19761777,2022-09-08,21.8
10446704,2022-06-27,24.3
4659334,2022-04-18,7.9
10282852,2022-06-14,23.9
4910788,2022-04-09,11.4
25880802,2022-11-03,15.7
4703283,2022-04-07,9.1
62340,2022-01-18,1.8
22970953,2022-10-23,14.7
28255807,2022-12-22,3.8
8898666,2022-05-20,15.4
27131614,2022-11-17,5.7
25422022,2022-10-03,11.5
10423497,2022-06-16,20.3
24479435,2022-10-01,14.8
28851252,2022-12-12,1.6
25955516,2022-11-27,10.7
2383197,2022-03-11,7.2
9387986,2022-06-24,21.9
2274475,2022-03-13,-2.3
13761034,2022-07-12,25.8
24829182,2022-10-02,15.2
25692553,2022-10-12,17.9
18053673,2022-08-08,30.3
27249694,2022-11-07,21.3
8358626,2022-05-26,16.4
98698,2022-01-13,4.0
12341599,2022-06-02,20.3
8428111,2022-05-05,17.2
28175841,2022-11-22,6.6
1241111,2022-02-02,2.3
13046487,2022-07-29,28.2
6349425,2022-05-11,16.1
4607431,2022-04-13,15.4
798724,2022-01-24,-0.2
21468284,2022-09-11,23.2
5872033,2022-04-04,7.6
1781944,2022-02-08,4.1
8613237,2022-05-07,10.0
18514822,2022-08-01,23.1
4606042,2022-04-21,10.6
24707736,2022-10-17,16.6
2350553,2022-03-17,8.2
12052196,2022-06-28,22.4
19199765,2022-08-31,25.6
13896977,2022-07-03,26.9
27179111,2022-11-09,8.7
6119861,2022-04-10,8.6
15110085,2022-07-19,28.2
1189678,2022-02-04,5.8
8891419,2022-05-18,17.8
23484981,2022-10-07,20.3
17771021,2022-08-24,26.9
5565627,2022-04-22,14.6
240153,2022-01-22,-5.9
5201272,2022-04-26,11.5
3338594,2022-03-31,9.9
3241402,2022-03-20,14.3
29263546,2022-12-31,8.2
11867607,2022-06-20,20.5
27521953,2022-11-20,2.7
27311871,2022-11-21,1.1
19177520,2022-08-28,24.6
5701416,2022-04-25,10.4
28772891,2022-12-03,10.6
1026906,2022-02-23,14.4
2054354,2022-02-27,2.4
11639020,2022-06-09,24.4
601882,2022-01-21,-6.0
1688967,2022-02-19,0.1
3435,2022-01-16,-8.0
22720014,2022-09-27,19.7
27617701,2022-11-30,8.4
21926262,2022-09-26,19.4
2256785,2022-03-05,3.1
18947933,2022-08-14,24.0
20089488,2022-09-22,21.8
3673320,2022-03-12,5.1
287967,2022-01-26,-2.3
26821135,2022-11-29,5.4
15582487,2022-07-04,25.6
28528481,2022-12-28,3.4
3746045,2022-03-08,8.7
28600957,2022-12-26,-4.7
1403878,2022-02-05,-2.8
6129469,2022-04-11,8.8
14483673,2022-07-14,26.6
794684,2022-01-02,11.4
25204230,2022-10-05,13.8
25974813,2022-11-24,8.1
17356323,2022-08-23,25.9
2642137,2022-03-23,7.2
8510500,2022-05-23,21.0
4907392,2022-04-20,9.4
1565883,2022-02-06,-4.8
1442273,2022-02-10,6.3
2059068,2022-02-17,11.6
344698,2022-01-06,4.9
1788560,2022-02-03,6.4
1267573,2022-02-28,0.8
1059316,2022-02-13,2.8
168381,2022-01-01,11.6
194567,2022-01-15,-6.7
3091213,2022-03-29,-1.2
26888045,2022-11-15,4.9
470493,2022-01-08,-2.5
4516756,2022-04-27,11.6
29398856,2022-12-11,3.4
503726,2022-01-09,1.4
28609058,2022-12-16,6.2
777645,2022-01-10,1.6
1927068,2022-02-18,9.9
7804590,2022-05-08,10.4
1336495,2022-02-21,4.1
3450067,2022-03-04,-1.9
729031,2022-01-17,3.9
26123116,2022-11-10,12.6
1712380,2022-02-26,-1.1
8808242,2022-05-06,14.8
192201,2022-01-28,0.1
4212084,2022-04-17,8.3
29838355,2022-12-27,-0.7
658052,2022-01-30,-7.1
29431859,2022-12-25,-6.9
753922,2022-01-20,5.1
2158791,2022-02-14,-4.3
29050534,2022-12-21,1.0
1086069,2022-02-15,-4.7
175506,2022-01-07,0.7
640048,2022-01-31,-3.4
985710,2022-01-11,-5.4
825981,2021-12-31,
393878,2022-01-29,-4.8
134850,2021-12-29,
243440,2021-11-16,
1099488,2021-12-19,
2278343,2021-04-30,
834170,2021-12-30,
1887411,2021-12-08,
2167335,2021-03-14,
546228,2021-12-26,
10829245,2021-03-11,
1895593,2021-08-16,
